Product Name,Website / Pricing,Brand name,Wyz Categories,G2 Category,G2 SubCategory,Utilisation Type,Plan Type ,Resource ,Top 5 Use Case of the Application,RFQ,,,,More Details from Customer,,,
,,,,,,,,,,Pricing Levers,Payment Frequency,Pricing (INR),Implementations,,,,
Confluence,https://www.atlassian.com/software/confluence,Atlassian,DW - Productivity Tools,Knowledge Management Software,Knowledge Base Software,Per Seat,Free,"https://www.atlassian.com/software/confluence/pricing
","1. Knowledge Hub: Confluence is where we store guides, FAQs, and team knowledge. It helps us onboard new members smoothly and keeps all information easy to find.

2. Project Collaboration: Confluence is used to plan projects, track progress, and manage tasks together. It keeps project documents organized and everyone on the same page.

3. Meeting Notes: Confluence captures meeting notes and decisions in one place. It ensures everyone know what was discussed and what actions to take next.

4. Team Portals: Each team has a portal in Confluence where we they can share updates, goals, and important resources. 

5. Agile Support: For Agile projects, Confluence helps document requirements, user stories, and sprint plans. Integrated with Jira, it keeps our development process smooth and efficient.",". User Count: The price scales based on how many people will use Confluence.
   
. Deployment Choice: Choose between Cloud (hosted by Atlassian) or Data Center (self-hosted) options, affecting pricing.
   
. Subscription Type: Pay monthly or annually, with annual plans often offering savings.
   
. Apps and Features: Additional costs may apply for extra features or apps from the Atlassian Marketplace.
   
. Support Level: Different support tiers (Standard vs. Premium) are available, influencing pricing and service levels.","Monthly, Annually",$0,No ,"SEN Number
Registered email id with Atlassian",,,
Confluence,https://www.atlassian.com/software/confluence,Atlassian,DW - Productivity Tools,Knowledge Management Software,Knowledge Base Software,Per Seat,Standard,,,,"Monthly, Annually",$6.05 / User / Month,No / Support,,,,
Confluence,https://www.atlassian.com/software/confluence,Atlassian,DW - Productivity Tools,Knowledge Management Software,Knowledge Base Software,Per Seat,Premium,,,,"Monthly, Annually",$11.55 / User / Month,No / Support,,,Common Questions,Sub Questions
Confluence,https://www.atlassian.com/software/confluence,Atlassian,DW - Productivity Tools,Knowledge Management Software,Knowledge Base Software,Per Seat,Enterprise,,,,"Monthly, Annually",Contact Sales,No / Support,,,New/Renewal,Renewal Time Line
Jira,https://www.atlassian.com/software/jira,Atlassian,DW - Productivity Tools,Product Management Software,,Per Seat,Free,"https://www.atlassian.com/software/jira/pricing
https://www.g2.com/products/jira/reviews
Chat GPT","1. Project Management: Jira helps us plan projects, track tasks, and manage team workloads effectively. It keeps everyone aligned and tasks organized.

2. Agile Development: We use Jira for Agile methodologies like Scrum and Kanban. It helps us manage sprints, user stories, and releases, ensuring we deliver software iteratively and on time.

3. Issue Tracking: Jira serves as a central hub for tracking bugs, issues, and feature requests. 

4. Custom Workflows: With Jira, we can create custom workflows tailored to our team's needs. This flexibility allows us to automate processes and streamline our work.

5. Reporting and Insights: Jira provides us with valuable insights through reporting and dashboards. It helps us analyze team performance, project progress, and make data-driven decisions.",". User Count: Pricing scales based on the number of users needing access to Jira.

. Deployment Options: Choose between Jira Cloud (hosted by Atlassian) or Jira Data Center (self-hosted), impacting features and scalability.

. Subscription Type: Flexible billing options include monthly or annual plans, with annual subscriptions often offering cost savings.

. Apps and Integrations: Additional costs may apply for apps and integrations available via the Atlassian Marketplace to extend Jira's functionality.

. Support Levels: Different support tiers (Standard vs. Premium) offer varying levels of assistance and response times.

","Monthly, Annually",$0,No ,,,,Purshase Price/ISV or Partner Quote
Jira,https://www.atlassian.com/software/jira,Atlassian,DW - Productivity Tools,Product Management Software,,Per Seat,Standard,,,,"Monthly, Annually",$8.15/ User / month,No / Support,,,,
Jira,https://www.atlassian.com/software/jira,Atlassian,DW - Productivity Tools,Product Management Software,,Per Seat,Premium,,,,"Monthly, Annually",$16 / User / month,No / Support,,,Number of Licences,Type of Licences
Jira,https://www.atlassian.com/software/jira,Atlassian,DW - Productivity Tools,Product Management Software,,Per Seat,Enterprise,,,,"Monthly, Annually",Contact Sales,No / Support,,,,
GitLab,https://about.gitlab.com/,GitLab,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Free,"https://about.gitlab.com/pricing/
https://www.g2.com/products/gitlab/reviews
https://www.devopsschool.com/blog/what-is-gitlab-and-use-cases-of-gitlab/
https://handbook.gitlab.com/handbook/company/pricing/","1. Version Control: Manage code versions efficiently, track changes, and revert to previous versions if needed.

2. Collaboration: Facilitate team collaboration through code reviews, issue tracking, and project boards.

3. Continuous Integration and Delivery (CI/CD): Automate building, testing, and deploying software for faster and more reliable releases.

4. Infrastructure as Code (IaC): Manage and automate your infrastructure configuration with tools like Terraform.

5. Security: Scan code for vulnerabilities, manage secrets securely, and protect your deployments from threats.

6. Project Management: Organize and track project progress with milestones, deadlines, and task management tools.

7. Documentation: Create and share documentation directly within your GitLab repository for easy access.

8. Remote Work: Facilitate communication and collaboration for teams working remotely.

9. Scalability: Accommodate projects of all sizes, from small startups to large enterprises.

10. Customization: Extend GitLab’s functionality with numerous integrations and plugins to tailor it to your specific needs.","
. Feature-Based Plans: GitLab offers different plans to match various needs and budgets. Whether you're a small team just starting out or a large enterprise needing advanced features, you can choose from the free, premium, or ultimate plans, each packed with progressively more robust features.

. Scalable User Pricing: As your team grows, GitLab’s pricing scales with you. The cost per user adjusts based on the number of users, often providing better rates for larger teams, making it easier to plan as you expand.

. Flexible Billing: You have the option to pay monthly or annually. Annual billing often comes with a discount, helping you save if you're ready to commit for the year. But if you prefer flexibility, monthly billing is available too.

. Customization with Add-Ons: Need something extra? GitLab allows you to add specific features or enhanced support to your plan. This means you can tailor your subscription to exactly what your team requires without paying for unnecessary extras.

. Competitive Pricing: GitLab keeps an eye on the market to ensure their pricing remains competitive. They regularly review and adjust their prices, ensuring you're getting great value compared to other options out there.
","Monthly, Annually",$0,Optional,,,,
